Country Name,Prevalence of undernourishment (% of population),Cost of a healthy diet (PPP dollar per person per day),"Unemployment, total (% of total labor force) (national estimate)",GDP per capita (current US$),"Population, total",Prevalence of undernourishment,"Unemployment, total",Cost of a healthy diet (per day),GDP (current US$),"Gross domestic product per capita, PPP, (constant 2017 international $)",Political stability and absence of violence/terrorism (index),Percentage of population using at least basic sanitation services (percent),Access to clean fuels and technologies for cooking (% of population)
Angola,15.4,4.327,9.535,2283.214233,30208628,465212871.2,288039268,130712733.4,68972769396,7216.1,-0.38,49.9,48.3
Australia,2.5,2.259,5.59,53934.15437,24594202,61485505,137481589.2,55558302.32,1.32647E+12,48400.2,0.9,99,100
Bangladesh,12.5,2.882,4.37,1815.610191,161793964,2022424550,707039622.7,466290204.2,2.93755E+11,4830.8,-1.26,49.7,20.6
Brazil,2.5,2.809,12.79,9896.717511,208504960,521262400,2666778438,585690432.6,2.06351E+12,14477.9,-0.47,87.7,95.9
Cambodia,7.7,3.618,0.14,1400.899265,15830689,121896305.3,2216296.46,57275432.8,22177200589,3972.7,0.09,59.3,100
Canada,2.5,2.863,6.43,45129.4293,36545236,91363090,234985867.5,104629010.7,1.64927E+12,48317.2,1.1,99,100
Chile,2.9,3.053,6.95,15045.52785,18368577,53268873.3,127661610.2,56079265.58,2.76365E+11,24546.9,0.42,99,100
Croatia,2.5,4.168,11.21,13562.14405,4124531,10311327.5,46235992.51,17191045.21,55937483558,27207,0.69,96.5,99.9
Egypt,4.9,3.457,11.767,2439.967284,101789386,498767991.4,1197755705,351885907.4,2.48363E+11,10435.9,-1.42,96.4,100
Finland,2.5,2.545,8.64,46412.13648,5508214,13770535,47590968.96,14018404.63,2.55648E+11,47570.1,1.08,99,100
France,2.5,2.936,9.41,38781.04949,66918020,167295050,629698568.2,196471306.7,2.59515E+12,44577.1,0.28,98.7,100
Germany,2.5,2.786,3.75,44652.58917,82657002,206642505,309963757.5,230282407.6,3.69085E+12,53071.5,0.59,99,100
Greece,2.5,3.037,21.41,18582.08934,10754679,26886697.5,230257677.4,32661960.12,1.99844E+11,28604.9,-0.07,99,100
Hungary,2.5,3.302,4.16,14621.2396,9787966,24469915,40717938.56,32319863.73,1.43112E+11,29501.1,0.81,98,74.7
Indonesia,5.9,4.129,3.78,3839.785075,264498852,1560543227,999805660.6,1092115760,1.01562E+12,10941.9,-0.5,78.7,96.8
"Iran, Islamic Rep.",5.2,3.005,12.23,5758.591,84505076,439426395.2,1033497079,253937753.4,4.8663E+11,15163.3,-0.93,89.5,98.7
Israel,2.5,2.436,4.22,41114.78171,8713300,21783250,36770126,21225598.8,3.58245E+11,39121.3,-0.89,99,100
Italy,2.5,2.993,11.21,32406.72032,60536709,151341772.5,678616507.9,181186370,1.9618E+12,41581.1,0.31,99,100
Japan,2.5,5.529,2.82,38834.05293,126972000,317430000,358061040,702028188,4.93084E+12,41444.2,1.11,99,1.1
